language,sent_id,tok_id,token,upos,lemma
en,12,0,There,PRON,there
en,12,1,was,VERB,be
en,12,2,a,DET,a
en,12,3,little,ADJ,little
en,12,4,laughter,NOUN,laughter
en,12,5,in,ADP,in
en,12,6,the,DET,the
en,12,7,neighbouring,ADJ,neighbouring
en,12,8,room,NOUN,room
en,12,9,",",PUNCT,","
en,12,10,it,PRON,it
en,12,11,was,AUX,be
en,12,12,not,PART,not
en,12,13,clear,ADJ,clear
en,12,14,from,ADP,from
en,12,15,the,DET,the
en,12,16,sound,NOUN,sound
en,12,17,of,ADP,of
en,12,18,it,PRON,it
en,12,19,whether,SCONJ,whether
en,12,20,there,PRON,there
en,12,21,were,VERB,be
en,12,22,several,ADJ,several
en,12,23,people,NOUN,people
en,12,24,laughing,VERB,laugh
en,12,25,.,PUNCT,.
en,14,0,"""",PUNCT,""""
en,14,1,It,PRON,it
en,14,2,would,AUX,would
en,14,3,be,AUX,be
en,14,4,the,DET,the
en,14,5,first,ADJ,first
en,14,6,time,NOUN,time
en,14,7,that,PRON,that
en,14,8,'s,AUX,be
en,14,9,happened,VERB,happen
en,14,10,",",PUNCT,","
en,14,11,"""",PUNCT,""""
en,14,12,said,VERB,say
en,14,13,K.,PROPN,K.
en,14,14,",",PUNCT,","
en,14,15,as,SCONJ,as
en,14,16,he,PRON,he
en,14,17,jumped,VERB,jump
en,14,18,out,ADP,out
en,14,19,of,ADP,of
en,14,20,bed,NOUN,bed
en,14,21,and,CCONJ,and
en,14,22,quickly,ADV,quickly
en,14,23,pulled,VERB,pull
en,14,24,on,ADP,on
en,14,25,his,PRON,his
en,14,26,trousers,NOUN,trouser
en,14,27,.,PUNCT,.
en,17,0,That,PRON,that
en,17,1,",",PUNCT,","
en,17,2,at,ADP,at
en,17,3,least,ADJ,least
en,17,4,",",PUNCT,","
en,17,5,is,AUX,be
en,17,6,how,SCONJ,how
en,17,7,the,DET,the
en,17,8,stranger,NOUN,stranger
en,17,9,took,VERB,take
en,17,10,it,PRON,it
en,17,11,",",PUNCT,","
en,17,12,as,SCONJ,as
en,17,13,he,PRON,he
en,17,14,said,VERB,say
en,17,15,",",PUNCT,","
en,17,16,"""",PUNCT,""""
en,17,17,Do,AUX,do
en,17,18,n't,PART,not
en,17,19,you,PRON,you
en,17,20,think,VERB,think
en,17,21,you,PRON,you
en,17,22,'d,AUX,would
en,17,23,better,ADV,well
en,17,24,stay,VERB,stay
en,17,25,where,SCONJ,where
en,17,26,you,PRON,you
en,17,27,are,AUX,be
en,17,28,?,PUNCT,?
en,17,29,"""",PUNCT,""""
en,26,0,Through,ADP,through
en,26,1,the,DET,the
en,26,2,open,ADJ,open
en,26,3,window,NOUN,window
en,26,4,he,PRON,he
en,26,5,noticed,VERB,notice
en,26,6,the,DET,the
en,26,7,old,ADJ,old
en,26,8,woman,NOUN,woman
en,26,9,again,ADV,again
en,26,10,",",PUNCT,","
en,26,11,who,PRON,who
en,26,12,had,AUX,have
en,26,13,come,VERB,come
en,26,14,close,ADV,close
en,26,15,to,ADP,to
en,26,16,the,DET,the
en,26,17,window,NOUN,window
en,26,18,opposite,ADV,opposite
en,26,19,so,SCONJ,so
en,26,20,that,SCONJ,that
en,26,21,she,PRON,she
en,26,22,could,AUX,could
en,26,23,continue,VERB,continue
en,26,24,to,PART,to
en,26,25,see,VERB,see
en,26,26,everything,PRON,everything
en,26,27,.,PUNCT,.
en,32,0,"""",PUNCT,""""
en,32,1,That,PRON,that
en,32,2,'s,AUX,be
en,32,3,something,PRON,something
en,32,4,we,PRON,we
en,32,5,'re,AUX,be
en,32,6,not,PART,not
en,32,7,allowed,VERB,allow
en,32,8,to,PART,to
en,32,9,tell,VERB,tell
en,32,10,you,PRON,you
en,32,11,.,PUNCT,.
en,33,0,Go,VERB,go
en,33,1,into,ADP,into
en,33,2,your,PRON,your
