language,sent_id,tok_id,token,upos,lemma
de,26,0,Ein,DET,ein
de,26,1,kleines,ADJ,klein
de,26,2,Gelächter,NOUN,Gelächter
de,26,3,im,ADP,in
de,26,4,Nebenzimmer,NOUN,Nebenzimmer
de,26,5,folgte,VERB,folgen
de,26,6,",",PUNCT,--
de,26,7,es,PRON,es
de,26,8,war,AUX,sein
de,26,9,nach,ADP,nach
de,26,10,dem,DET,der
de,26,11,Klang,NOUN,Klang
de,26,12,nicht,PART,nicht
de,26,13,sicher,ADV,sicher
de,26,14,",",PUNCT,--
de,26,15,ob,SCONJ,ob
de,26,16,nicht,PART,nicht
de,26,17,mehrere,DET,mehrere
de,26,18,Personen,NOUN,Person
de,26,19,daran,ADV,daran
de,26,20,beteiligt,VERB,beteiligen
de,26,21,waren,AUX,sein
de,26,22,.,PUNCT,--
de,28,0,„,PUNCT,--
de,28,1,Das,PRON,der
de,28,2,wäre,AUX,sein
de,28,3,neu,ADV,neu
de,28,4,",",PUNCT,--
de,28,5,“,PUNCT,--
de,28,6,sagte,VERB,sagen
de,28,7,K.,PROPN,K.
de,28,8,",",PUNCT,--
de,28,9,sprang,VERB,springen
de,28,10,aus,ADP,aus
de,28,11,dem,DET,der
de,28,12,Bett,NOUN,Bett
de,28,13,und,CCONJ,und
de,28,14,zog,VERB,ziehen
de,28,15,rasch,ADV,rasch
de,28,16,seine,DET,sein
de,28,17,Hosen,NOUN,Hose
de,28,18,an,ADP,an
de,28,19,.,PUNCT,--
de,31,0,Immerhin,ADV,immerhin
de,31,1,faßte,VERB,fassen
de,31,2,es,PRON,es
de,31,3,der,DET,der
de,31,4,Fremde,NOUN,Fremde
de,31,5,so,ADV,so
de,31,6,auf,ADP,auf
de,31,7,",",PUNCT,--
de,31,8,denn,CCONJ,denn
de,31,9,er,PRON,er
de,31,10,sagte,VERB,sagen
de,31,11,:,PUNCT,--
de,31,12,„,PUNCT,--
de,31,13,Wollen,VERB,wollen
de,31,14,Sie,PRON,sie
de,31,15,nicht,PART,nicht
de,31,16,lieber,ADV,lieb
de,31,17,hierbleiben,VERB,hierbleiben
de,31,18,?,PUNCT,--
de,31,19,“,PUNCT,--
de,40,0,„,PUNCT,--
de,40,1,Ich,PRON,ich
de,40,2,will,AUX,wollen
de,40,3,doch,ADV,doch
de,40,4,Frau,NOUN,Frau
de,40,5,Grubach,PROPN,Grubach
de,40,6,—,PUNCT,--
de,40,7,“,PUNCT,--
de,40,8,sagte,VERB,sagen
de,40,9,K.,PROPN,K.
de,40,10,",",PUNCT,--
de,40,11,machte,VERB,machen
de,40,12,eine,DET,ein
de,40,13,Bewegung,NOUN,Bewegung
de,40,14,",",PUNCT,--
de,40,15,als,SCONJ,als
de,40,16,reiße,VERB,reißen
de,40,17,er,PRON,er
de,40,18,sich,PRON,sich
de,40,19,von,ADP,von
de,40,20,den,DET,der
de,40,21,zwei,NUM,zwei
de,40,22,Männern,NOUN,Mann
de,40,23,los,ADV,los
de,40,24,",",PUNCT,--
de,40,25,die,PRON,der
de,40,26,aber,ADV,aber
de,40,27,weit,ADV,weit
de,40,28,von,ADP,von
de,40,29,ihm,PRON,ihm
de,40,30,entfernt,ADV,entfernt
de,40,31,standen,VERB,stehen
de,40,32,",",PUNCT,--
de,40,33,und,CCONJ,und
de,40,34,wollte,AUX,wollen
de,40,35,weitergehn,ADV,weitergehn
de,40,36,.,PUNCT,--
de,46,0,Gehn,ADV,Gehn
de,46,1,Sie,PRON,sie
de,46,2,in,ADP,in
de,46,3,Ihr,DET,ihr
de,46,4,Zimmer,NOUN,Zimmer
de,46,5,und,CCONJ,und
de,46,6,warten,VERB,warten
de,46,7,Sie,PRON,sie
de,46,8,.,PUNCT,--
de,47,0,Das,DET,der
de,47,1,Verfahren,NOUN,Verfahren
de,47,2,ist,AUX,sein
de,47,3,nun,ADV,nun
de,47,4,einmal,ADV,einmal
de,47,5,eingeleitet,VERB,einleiten
de,47,6,und,CCONJ,und
de,47,7,Sie,PRON,sie
de,47,8,werden,AUX,werden
de,47,9,alles,PRON,alle
de,47,10,zur,ADP,zu
de,47,11,richtigen,ADJ,richtig
de,47,12,Zeit,NOUN,Zeit
de,47,13,erfahren,VERB,erfahren
de,47,14,.,PUNCT,--
de,65,0,Hier,ADV,hier
de,65,1,schien,VERB,scheinen
de,65,2,ihm,PRON,ihm
de,65,3,das,PRON,der
de,65,4,aber,ADV,aber
de,65,5,nicht,PART,nicht
de,65,6,richtig,ADV,richtig
de,65,7,",",PUNCT,--
de,65,8,man,PRON,man
de,65,9,konnte,AUX,können
de,65,10,zwar,ADV,zwar
de,65,11,das,DET,der
de,65,12,Ganze,NOUN,ganze
de,65,13,als,ADP,als
de,65,14,Spaß,NOUN,Spaß
de,65,15,ansehn,ADV,ansehn
de,65,16,",",PUNCT,--
de,65,17,als,SCONJ,als
de,65,18,einen,DET,ein
de,65,19,groben,ADJ,grob
de,65,20,Spaß,NOUN,Spaß
de,65,21,",",PUNCT,--
de,65,22,den,PRON,der
de,65,23,ihm,PRON,ihm
de,65,24,aus,ADP,aus
de,65,25,unbekannten,ADJ,unbekannt
de,65,26,Gründen,NOUN,Grund
de,65,27,",",PUNCT,--
de,65,28,vielleicht,ADV,vielleicht
de,65,29,weil,SCONJ,weil
de,65,30,heute,ADV,heute
